Era,Period,Epoch,Rel_age,Family,Genus,species,Author,Year,,,,,Suborder Publish Year,Superfamily,Superfamily Author,Superfamily Publish Year,Family,Family Author,Family Author Publish Year,Genus,Genus Author,Genus Author Publish Year
Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,Cheiridiidae,Electrobisium,acutum,Cockerell,1917,,,,,1992,Cheiridioidea,Hansen,1894,Cheiridiidae,Hansen,1894,Electrobisium,Cockerell,1917
Mesozoic,Cretaceous,Early Cretaceous,Albian,Cheliferidae,Heurtaultia,rossiorum,Judson,2009,,,,,1992,Cheliferoidea,Risso,1826,Cheliferidae,Risso,1827,Heurtaultia,Judson,2009
Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,Garypinidae,Amblyolpium,burmiticum,Cockerell,1920,,,,,1992,Garypoidea,Simon,1879,Garypinidae,Daday,1888,Amblyolpium,Simon,1898
Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,Feaellidae,Protofealla,peetersae,Henderickx and Boone,2016,,,,,,,,,,,,,,
Mesozoic,Cretaceous,Early Cretaceous,Albian,Cheliferidae,indet.,indet.,Judson,2009,,,,,,,,,,,,,,
Mesozoic,Cretaceous,Late Cretaceous,Turonian,indet.,indet.,indet.,Grimaldi et al. ,2002,,,,,,,,,,,,,,
Mesozoic,Cretaceous,Late Cretaceous,Campanian,Chernetidae,indet.,indet.,Schawaller,1991,,,,,,,,,,,,,,
Mesozoic,Cretaceous,Early Cretaceous,Barremian,indet.,indet.,indet.,Whalley,1980,,,,,,,,,,,,,,
Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,indet.,indet.,indet.,Delclos,2007,,,,,,,,,,,,,,
Mesozoic,Cretaceous,Late Cretaceous,Cenomanian,Cheiridiidae,Procheiridium,judsoniÿ,Porta et al.,2020,,,,,,,,,,,,,,
